"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"433",0,0,0,0,0,0,0,0,0,0,2
"434",0,0,0,0,0,0,0,0,1,0,6
"435",0,0,0,0,0,0,0,4,0,0,1
"436",0,0,0,0,0,0,0,0,14,0,8
"437",0,0,0,0,0,0,0,0,0,0,3
"438",0,0,0,0,0,0,0,0,3,0,3
"439",0,0,0,0,0,0,0,0,0,0,3
"440",0,0,0,0,0,0,0,3,0,0,0
"441",0,0,0,0,0,0,0,3,0,0,2
"442",0,0,0,0,0,0,0,0,0,0,2
"443",0,0,0,0,0,0,0,2,0,0,1
"444",1,0,0,0,0,1,0,0,0,0,0
"445",0,0,0,0,0,0,0,0,0,0,3
"446",0,0,0,0,0,0,0,0,0,0,4
"447",0,0,0,0,0,0,0,0,1,0,2
"448",0,0,0,0,0,0,0,0,0,0,2
"449",4,0,0,1,0,0,0,0,0,0,6
"450",0,0,0,0,0,0,0,19,0,0,11
"451",0,0,0,0,0,0,0,2,0,0,0
"452",0,0,0,0,0,0,0,0,0,0,8
"453",0,0,0,0,0,0,0,0,3,0,3
"454",0,0,0,0,0,0,0,0,0,3,12
"455",0,0,0,0,0,0,0,3,0,0,0
"456",0,0,0,0,0,0,0,0,0,0,4
"457",0,0,0,0,0,0,0,2,0,0,1
"458",0,0,0,0,0,0,0,0,0,0,2
"459",0,0,0,0,1,0,0,0,0,0,2
"460",0,0,0,0,0,0,2,0,0,0,0
"461",0,0,0,0,0,0,0,1,0,0,1
"462",0,0,0,0,0,0,0,0,2,0,0
"463",0,0,0,0,0,1,0,0,0,0,1
"464",0,0,0,0,0,0,0,2,0,0,0
"465",0,0,0,0,0,2,0,0,0,0,4
"466",0,0,0,0,0,0,0,0,0,0,3
"467",0,0,0,0,0,0,0,0,0,0,5
"468",0,0,0,0,0,0,0,0,3,0,0
"469",2,0,0,0,0,0,0,0,0,0,1
"470",0,0,0,0,0,0,0,0,6,0,8
"471",0,0,0,0,0,0,0,0,0,0,7
"472",0,0,0,0,0,0,0,0,2,0,5
"473",0,0,0,0,0,0,0,0,0,0,2
"474",0,0,0,0,0,0,0,0,2,0,0
"475",0,0,0,0,0,0,0,5,0,0,0
"476",0,0,0,0,0,0,0,0,7,0,4
"477",0,0,0,0,0,0,0,2,0,0,0
"478",3,0,0,0,0,0,0,0,2,0,2
"479",0,0,0,0,0,0,0,0,0,0,22
"480",0,0,0,0,0,0,0,0,0,0,3
"481",0,0,0,0,0,0,0,0,0,0,3
"482",0,0,0,0,0,0,0,0,0,0,2
"483",0,0,0,0,0,0,0,1,1,0,4
"484",0,0,0,0,0,0,0,0,4,0,0
"485",0,0,0,0,0,0,0,0,0,0,2
"486",0,0,0,0,0,0,0,0,0,0,3
"487",0,0,0,0,0,0,0,0,0,0,2
"488",0,0,0,0,0,0,0,0,0,0,2
"489",0,0,0,0,0,0,0,0,0,0,4
"490",0,0,0,0,0,0,0,2,0,0,1
"491",0,0,0,0,0,0,0,0,0,0,9
"492",0,0,0,0,0,0,2,0,0,0,0
"493",0,0,0,0,0,0,0,0,4,0,0
"494",0,0,0,0,0,0,0,0,0,0,3
"495",0,0,0,0,2,0,0,2,0,0,0
"496",0,0,0,0,0,0,0,1,0,0,1
"497",0,0,0,0,0,0,0,0,0,0,2
"498",0,0,0,0,0,0,0,0,3,0,1
"499",0,0,0,0,0,0,2,0,0,0,4
"500",0,0,0,0,0,0,0,0,0,0,2
"501",0,0,0,0,0,0,0,0,0,0,3
"502",0,0,0,0,0,0,0,0,1,0,3
"503",0,0,0,0,0,0,1,0,0,0,1
"504",0,0,0,0,0,0,0,0,2,0,2
"505",0,0,0,0,0,0,0,0,0,0,2
"506",0,0,0,1,0,1,1,1,0,0,2
"507",0,0,0,0,0,0,0,0,5,0,5
"508",0,0,0,0,0,0,0,0,0,0,2
"509",0,0,0,0,0,0,0,1,3,0,2
"510",0,0,0,0,0,0,5,0,0,0,8
"511",0,0,0,0,0,0,0,0,43,0,1
"512",3,0,0,0,0,0,0,0,0,0,0
"513",0,0,0,0,0,0,0,0,5,0,0
"514",0,0,0,0,0,0,0,3,0,1,1
"515",0,0,0,0,0,0,0,3,0,0,4
"516",0,0,0,0,0,0,0,0,0,0,2
"517",15,0,0,0,0,0,0,0,0,0,0
"518",0,0,0,0,1,0,0,0,0,0,1
"519",0,0,0,0,0,0,0,0,2,0,1
"520",0,0,0,0,0,0,0,0,0,0,7
"521",0,0,0,0,0,0,0,0,0,0,4
"522",0,0,0,0,0,0,0,17,0,0,10
"523",0,0,0,0,0,0,0,0,14,0,3
"524",0,0,0,1,0,0,1,0,0,0,0
"525",0,0,0,0,0,0,0,0,2,0,2
"526",0,0,0,0,0,0,0,0,0,0,2
"527",1,0,0,0,0,0,0,0,0,0,1
"528",0,0,0,0,0,0,0,0,1,0,1
"529",0,0,0,0,0,0,0,6,2,0,3
"530",0,0,0,0,0,0,0,28,0,0,28
"531",0,0,0,0,0,0,0,0,0,0,2
"532",16,0,0,0,0,0,0,0,0,0,3
"533",0,0,0,0,0,0,0,0,1,0,2
"534",0,0,0,0,0,0,0,0,0,0,13
"535",0,0,0,0,0,0,0,5,0,0,0
"536",0,0,0,0,0,0,0,0,1,0,2
"537",0,0,0,0,0,0,0,0,0,0,2
"538",0,0,0,1,0,0,0,0,0,0,4
"539",0,0,0,0,0,0,0,0,0,0,9
"540",0,0,0,0,0,0,0,4,0,0,0
"541",0,0,0,0,0,0,0,0,0,0,3
"542",0,0,0,0,0,0,0,0,0,0,2
"543",0,0,0,0,0,0,1,0,0,0,3
"544",0,0,0,0,0,0,0,0,3,0,0
"545",0,0,0,1,0,0,7,0,0,0,8
"546",0,0,0,0,0,0,0,0,0,0,2
"547",0,0,0,0,0,0,0,0,0,0,2
"548",6,0,0,0,0,0,0,0,0,0,0
"549",0,0,0,0,0,0,0,1,2,0,2
