"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"802",0,0,0,0,0,0,0,41,9,0,39
"806",0,0,0,0,0,0,0,0,0,0,2
"809",4,0,0,0,0,0,0,0,0,0,0
"812",0,0,0,0,0,0,1,0,0,0,1
"815",1,0,0,0,0,0,0,0,0,0,1
"816",0,0,0,0,0,0,0,0,3,0,0
"817",0,0,0,0,0,0,0,0,2,0,0
"818",0,0,0,0,0,0,0,2,0,0,1
"819",0,0,0,0,0,0,2,0,0,0,0
"824",0,0,0,0,0,0,0,0,2,0,1
"826",5,0,0,0,0,0,0,0,0,0,3
"827",0,0,0,0,0,0,0,6,0,0,5
"828",0,0,0,0,0,0,0,0,0,0,5
"830",0,0,0,0,0,0,0,2,0,0,0
"835",0,0,1,0,0,0,0,0,0,0,1
"840",9,0,0,0,0,0,0,0,0,0,1
"841",0,0,0,0,0,0,0,3,0,0,0
"843",0,0,0,0,0,0,0,3,0,0,1
"845",0,0,0,0,0,1,0,0,0,0,7
"847",0,0,0,0,0,0,0,0,5,0,0
"851",0,0,0,0,0,0,0,16,0,0,1
"853",0,0,0,0,0,0,0,0,2,0,0
"854",0,0,0,0,0,0,3,0,0,0,1
"856",0,0,0,0,0,0,1,0,1,0,0
"862",1,0,0,0,0,0,0,0,0,0,2
"866",0,0,0,0,0,0,0,0,5,0,1
"869",0,0,0,1,0,0,0,0,0,0,1
"872",1,0,0,0,0,0,3,0,0,0,0
"873",4,0,0,0,0,0,0,0,0,0,0
"874",0,0,0,0,0,0,0,0,0,0,3
"875",0,0,0,1,0,0,7,0,0,0,2
"878",0,0,0,0,0,0,0,0,0,0,3
"880",0,0,0,0,0,0,0,0,2,0,0
"883",0,0,0,1,0,1,11,0,0,0,7
"885",0,0,0,0,0,0,0,6,0,0,0
"886",0,0,0,0,0,0,0,5,0,0,0
"887",6,0,0,0,0,0,0,0,0,0,1
"888",0,0,0,0,0,0,0,0,0,0,2
"892",0,0,0,0,0,0,0,4,0,0,1
"895",0,0,0,0,0,0,0,0,2,0,0
"896",0,0,0,0,0,4,0,0,0,0,2
"902",0,0,0,0,0,0,0,0,3,0,0
"904",0,0,0,0,0,0,4,0,0,0,1
"910",0,0,0,0,0,0,2,1,0,0,7
"911",0,0,0,0,0,0,0,7,6,0,13
"913",0,0,0,2,0,0,0,0,0,0,2
"915",0,0,0,0,0,0,0,3,0,0,0
"918",0,0,0,0,0,2,0,20,16,0,0
"920",0,0,0,0,0,0,0,0,3,0,0
"933",0,0,0,0,0,0,1,13,10,0,5
"938",0,0,0,0,0,0,0,0,0,0,2
"945",0,0,0,0,0,0,0,3,0,0,1
"946",2,0,0,0,0,0,0,0,0,0,1
"950",0,0,0,0,0,0,0,0,6,0,0
"953",0,1,0,0,0,0,0,1,0,0,1
"955",0,0,0,0,0,0,0,0,0,0,2
"956",2,0,0,0,0,0,0,0,0,0,1
"959",0,0,0,0,0,0,13,0,0,0,2
"960",0,0,0,0,0,0,0,0,8,0,3
"961",0,0,0,0,0,0,0,1,1,0,7
"963",0,0,0,0,0,0,0,0,15,0,4
"964",3,0,0,0,0,0,0,0,0,0,6
"965",0,0,0,2,0,0,0,0,0,0,0
"966",0,0,0,0,0,0,0,0,20,0,0
"969",0,0,1,0,0,0,2,0,0,0,0
"971",0,0,0,0,0,0,2,0,0,0,0
"973",1,0,0,0,0,0,0,0,0,0,1
"976",0,0,0,0,0,0,0,0,2,0,0
"980",0,0,0,0,0,0,0,2,8,0,10
"983",47,0,0,0,0,0,1,0,1,0,1
"984",0,0,0,0,0,0,0,0,0,0,2
"988",6,0,0,0,0,0,0,0,0,0,0
"990",0,0,0,2,0,0,0,0,0,0,1
"991",0,0,0,0,0,0,0,0,0,0,2
"997",0,0,0,0,0,0,0,7,14,0,13
"999",0,0,0,5,0,0,2,0,0,0,27
"1001",0,0,0,0,0,0,0,0,1,0,3
"1002",0,0,0,0,0,0,0,1,0,0,2
"1003",0,0,0,0,0,0,0,0,3,0,1
"1005",0,0,0,0,0,0,0,0,17,0,3
"1006",0,0,0,0,0,0,0,2,0,0,2
"1007",0,0,0,0,0,0,0,0,0,0,3
"1008",0,0,0,0,0,0,0,0,1,0,1
"1011",0,0,0,0,0,0,0,0,2,0,0
"1023",0,0,0,0,0,0,0,1,0,0,1
"1025",0,0,0,0,0,0,0,0,3,0,0
"1033",0,0,0,0,0,0,0,0,0,0,2
"1034",2,0,0,0,0,0,0,0,0,0,1
"1042",0,0,0,0,0,0,0,1,11,0,21
"1043",0,0,0,0,0,0,0,0,0,0,2
"1048",0,0,0,0,0,0,2,0,0,0,1
"1049",0,0,0,0,0,0,0,2,0,0,0
"1052",0,0,0,0,0,0,0,5,3,0,0
"1053",0,0,0,1,0,0,0,0,0,0,0
"1060",3,0,0,0,0,0,0,0,0,0,0
"1063",0,0,0,0,0,6,1,0,0,0,0
"1066",0,0,0,0,0,0,0,12,1,0,7
"1071",0,0,1,13,0,13,0,0,0,0,15
"1073",0,0,0,0,0,0,0,0,0,0,3
"1075",0,0,0,0,0,0,0,0,3,0,7
"1077",0,0,0,0,1,0,0,6,0,0,11
"1079",0,0,0,0,0,0,0,0,0,0,3
"1081",0,0,0,0,0,0,6,0,0,0,5
"1083",0,0,0,0,0,0,0,2,0,0,2
"1088",4,0,0,1,0,0,0,0,0,0,1
"1090",0,0,0,0,0,0,0,0,0,0,2
"1094",0,0,0,0,0,0,0,3,2,0,2
"1096",0,0,0,0,0,0,0,1,24,0,0
"1100",0,0,0,0,0,0,0,0,53,0,3
"1103",0,0,0,0,0,4,0,0,0,0,0
"1105",0,0,0,0,0,0,0,1,0,0,1
"1106",12,0,0,0,0,0,0,0,0,0,6
"1107",0,0,0,0,0,0,0,3,2,0,1
"1109",1,0,0,0,0,0,0,0,0,0,1
"1110",0,0,0,0,0,0,0,1,0,0,3
"1111",0,0,0,0,0,0,0,0,2,0,40
"1114",0,0,0,0,0,0,0,0,5,0,1
"1115",0,0,0,0,0,0,0,3,32,0,9
"1121",18,0,0,0,0,0,0,0,0,0,0
"1122",0,0,0,0,0,0,0,0,0,0,3
"1125",0,0,0,0,0,0,0,2,0,0,0
"1127",0,0,0,0,0,0,0,0,0,0,2
"1141",51,0,0,0,0,0,0,0,1,0,0
"1142",3,0,0,0,0,0,0,0,1,0,3
"1143",4,0,0,0,0,0,0,0,0,0,0
"1145",0,0,0,0,0,0,0,8,3,0,4
"1146",0,0,0,0,0,0,0,0,2,0,0
"1147",0,0,0,0,0,0,0,0,0,0,5
"1152",0,0,0,0,0,0,0,0,0,0,2
"1157",0,0,0,0,0,0,0,0,0,0,2
"1158",0,0,0,5,0,0,0,0,0,0,2
"1159",9,0,1,0,0,0,0,0,0,0,1
"1160",0,0,0,0,0,0,0,1,2,0,2
"1161",0,0,0,0,0,0,0,3,0,0,0
"1162",0,0,0,0,0,0,0,1,0,0,1
"1165",1,0,0,0,0,0,0,0,0,0,1
"1172",0,0,0,0,0,0,0,0,3,0,1
"1175",0,0,0,0,0,0,0,0,0,0,2
"1176",0,0,0,0,0,0,0,0,0,0,3
"1178",0,0,0,0,0,0,0,0,0,0,2
"1181",48,0,0,0,0,0,0,0,0,0,0
"1185",48,0,0,2,0,0,1,0,0,0,19
"1187",0,0,0,0,0,0,0,0,1,0,1
"1188",0,0,0,0,0,3,0,0,0,0,0
"1189",12,0,0,0,0,0,0,0,0,0,0
"1190",0,0,0,0,0,0,0,0,0,0,3
"1194",0,0,0,0,0,0,1,0,0,0,3
"1195",0,0,0,0,0,0,0,0,0,0,2
"1198",0,0,0,0,0,0,0,0,3,0,3
"1204",0,0,0,0,0,0,0,0,3,0,0
"1207",0,0,0,0,0,0,0,1,1,0,3
"1209",0,0,0,0,0,0,3,0,0,0,1
"1212",0,0,0,0,0,0,0,0,0,0,2
"1213",0,0,0,0,0,1,0,0,26,0,2
"1216",0,0,0,0,0,0,0,0,1,0,1
"1220",0,0,0,0,0,0,0,16,14,0,11
"1222",2,0,0,0,0,0,0,0,0,0,3
"1226",0,0,1,0,0,0,0,0,0,0,1
"1227",0,0,0,0,0,0,0,0,0,0,2
"1229",0,0,0,0,0,0,0,0,1,0,1
"1231",2,0,0,0,0,4,0,0,0,0,3
"1234",0,0,0,0,0,0,0,0,3,0,0
"1240",0,0,0,1,0,0,0,0,0,0,1
"1246",0,1,0,0,0,0,0,0,0,0,2
"1249",0,0,0,0,0,0,1,0,0,0,5
"1256",0,1,0,0,0,0,0,0,0,0,0
"1259",7,0,0,0,0,17,0,0,0,0,1
"1260",3,0,0,1,0,0,0,0,0,0,0
"1262",1,0,0,0,0,0,0,30,113,0,33
"1264",0,0,0,0,0,0,0,1,0,0,1
"1266",0,0,0,0,0,0,0,0,3,0,0
"1267",0,0,0,0,0,0,0,0,27,0,0
"1268",0,0,0,0,0,0,0,2,0,0,0
"1269",0,0,0,0,0,0,1,0,0,0,3
"1270",0,0,0,0,0,0,0,0,2,0,0
"1275",0,0,0,2,0,0,2,0,0,0,6
"1276",0,0,0,0,0,16,0,0,0,0,0
"1292",2,0,0,0,0,0,0,0,0,0,0
"1296",0,0,0,0,0,0,0,0,1,0,1
"1305",0,0,0,0,0,5,0,0,0,0,1
"1308",0,0,0,0,0,0,0,0,0,0,2
"1311",1,0,0,0,0,1,0,0,0,0,0
"1313",0,0,0,0,0,0,0,0,9,0,1
"1314",0,0,0,0,0,0,2,0,0,0,0
"1317",0,0,0,0,0,0,0,1,0,0,1
"1318",0,0,0,0,1,0,0,4,0,0,13
"1323",0,0,0,0,0,0,0,2,0,0,1
"1325",0,0,0,0,0,0,0,2,0,0,0
"1326",49,0,0,0,0,36,1,0,0,0,9
"1328",0,0,0,0,0,0,0,0,1,0,5
"1329",0,0,0,0,0,0,0,0,0,0,4
"1330",0,0,0,0,0,0,0,0,5,0,0
"1333",0,0,0,0,0,0,0,0,6,0,1
"1337",0,0,0,0,0,0,0,0,5,0,0
"1340",3,0,0,0,0,0,0,0,9,0,1
"1341",19,0,0,0,0,1,0,0,0,0,0
"1344",10,0,1,0,0,0,0,0,0,0,2
"1347",0,0,0,0,0,0,0,0,0,0,4
"1350",3,0,0,0,0,2,0,0,0,0,1
"1352",0,0,0,0,0,0,0,0,5,0,2
"1353",0,0,0,0,0,0,1,0,0,0,1
"1354",17,0,1,0,0,0,0,0,0,0,0
"1364",0,0,0,0,0,0,0,7,2,0,9
"1365",0,0,0,0,0,0,0,0,3,0,4
"1371",31,0,0,0,0,0,0,0,0,0,0
"1372",0,0,0,0,0,0,0,0,0,0,7
"1373",2,0,0,0,0,0,0,0,0,0,0
"1374",0,0,0,0,0,0,0,2,0,0,0
"1376",2,0,0,0,0,0,0,0,0,0,0
"1378",0,0,0,0,0,0,0,0,3,0,0
"1379",0,0,0,0,0,0,0,8,0,0,0
"1383",0,0,0,0,0,0,0,0,2,0,0
"1387",3,0,0,0,0,0,0,0,0,0,0
"1388",2,0,0,0,0,0,0,0,0,0,0
"1394",4,0,0,0,0,0,0,0,0,0,0
"1399",0,0,0,0,0,0,0,0,0,0,2
"1401",0,0,0,0,0,0,0,0,3,0,0
"1402",0,0,0,0,0,0,0,2,0,0,0
"1403",0,0,0,0,0,0,2,0,0,0,0
"1404",0,0,0,0,0,0,0,0,5,0,0
