"","Baso","Ccr7_DC","Eos","Erythroid","Lymphoid","Mast","Meg","Monocyte","Neutrophil","pDC","Undifferentiated"
"751",0,0,0,0,0,0,0,0,0,0,11
"753",0,0,0,0,0,0,0,0,0,0,2
"754",0,0,0,0,0,0,2,0,0,0,12
"757",0,0,0,0,0,0,0,10,0,0,7
"758",0,0,0,0,0,0,0,0,1,0,5
"759",0,0,0,0,0,0,0,0,1,0,3
"763",0,0,0,0,0,0,0,0,0,0,5
"764",0,0,0,0,0,0,0,0,1,0,1
"765",0,0,0,0,0,0,0,0,0,0,5
"766",0,0,0,0,0,0,0,0,0,0,4
"769",0,0,0,0,0,0,0,0,0,0,6
"772",0,0,0,0,0,0,0,0,0,0,16
"774",0,0,0,0,0,0,0,0,0,0,2
"775",0,0,0,0,0,0,0,0,0,0,3
"776",0,0,0,0,0,0,0,4,0,0,3
"777",6,0,0,0,0,0,0,0,0,0,5
"780",0,0,0,0,0,0,0,0,0,0,5
"781",0,0,0,0,0,0,0,0,0,0,3
"783",0,0,0,0,0,2,0,0,0,0,0
"786",14,0,0,0,0,0,0,0,0,0,2
"787",0,0,0,0,0,0,0,0,0,0,4
"788",0,0,0,0,0,0,0,0,0,0,6
"789",0,0,0,0,0,0,0,2,3,0,4
"791",0,0,0,0,0,0,0,0,0,0,2
"792",0,0,0,0,0,0,0,0,0,0,2
"796",0,0,0,0,0,0,0,1,3,0,10
"798",0,0,0,0,0,0,0,0,0,0,2
"799",0,0,0,0,0,0,0,0,0,0,4
"801",0,0,0,0,0,0,0,0,0,0,3
"803",0,0,0,0,0,0,0,27,0,0,5
"804",0,0,0,0,0,0,0,0,0,0,3
"805",0,0,0,0,0,0,0,0,0,0,2
"807",0,0,0,0,0,0,0,0,0,0,16
"808",0,0,0,0,0,0,0,1,0,0,6
"810",0,0,0,0,0,0,0,0,0,0,3
"811",0,0,0,0,0,0,0,0,1,0,1
"813",0,0,0,0,0,0,0,3,0,0,1
"814",0,0,0,0,0,0,0,0,0,0,19
"820",0,0,0,0,0,0,0,0,0,0,2
"821",0,0,0,0,0,0,0,0,6,0,5
"822",0,0,0,0,0,0,0,0,0,0,2
"823",0,0,0,0,0,0,0,0,0,0,2
"825",0,0,0,0,0,0,0,0,0,0,3
"829",0,0,0,0,0,0,0,0,0,0,2
"831",0,0,0,0,0,0,0,9,0,0,7
"832",0,0,0,0,0,0,0,0,7,0,13
"833",0,0,0,0,0,0,0,0,0,0,4
"834",0,0,0,0,0,0,0,0,1,0,2
"836",0,0,0,0,0,0,0,0,0,0,15
"837",0,2,0,0,0,0,0,0,0,0,0
"838",1,0,0,0,0,0,0,0,2,0,7
